entry_time,exit_time,trade_type,entry_price,exit_price,position_size,pnl,cumulative_pnl,return_pct,holding_period,trade_result,drawdown,max_drawdown,win_rate
2023-01-02 09:05:00,2023-01-02 10:55:00,buy,130.901,130.912,1.0,0.01099999999999568,0.01099999999999568,0.00840329714822322,110.0,win,0.0,0.0,51.47702407002188
2023-01-02 11:00:00,2023-01-02 15:40:00,buy,130.937,130.61,1.0,-0.3269999999999982,-0.3160000000000025,-0.24973842382214206,280.0,loss,0.0032699964030153067,0.0032699964030153067,51.47702407002188
2023-01-02 15:45:00,2023-01-02 16:40:00,buy,130.641,130.673,1.0,0.03200000000001069,-0.2839999999999918,0.02449460735910678,55.0,win,0.0029499967550042972,0.0032699964030153067,51.47702407002188
2023-01-02 16:45:00,2023-01-02 17:05:00,buy,130.67,130.731,1.0,0.06100000000000705,-0.22299999999998477,0.04668248258973525,20.0,win,0.002339997426006615,0.0032699964030153067,51.47702407002188
2023-01-02 17:10:00,2023-01-02 17:25:00,buy,130.716,130.749,1.0,0.03299999999998704,-0.18999999999999773,0.02524557054988451,15.0,win,0.002009997789011745,0.0032699964030153067,51.47702407002188
2023-01-02 17:35:00,2023-01-02 17:45:00,buy,130.759,130.784,1.0,0.025000000000005684,-0.16499999999999204,0.01911914285059207,10.0,win,0.0017599980640150808,0.0032699964030153067,51.47702407002188
2023-01-02 17:50:00,2023-01-02 18:00:00,sell,130.764,130.744,1.0,0.020000000000010232,-0.1449999999999818,0.015294729436244096,10.0,win,0.001559998284010473,0.0032699964030153067,51.47702407002188
2023-01-02 18:05:00,2023-01-02 18:30:00,buy,130.665,130.765,1.0,0.09999999999999432,-0.044999999999987494,0.07653158841311317,25.0,win,0.0005599993840056253,0.0032699964030153067,51.47702407002188
2023-01-02 18:45:00,2023-01-02 19:20:00,sell,130.736,130.734,1.0,0.001999999999981128,-0.043000000000006366,0.0015298005139985377,35.0,win,0.0005399994060015266,0.0032699964030153067,51.47702407002188
2023-01-02 19:25:00,2023-01-02 21:20:00,buy,130.728,130.759,1.0,0.03099999999997749,-0.012000000000028876,0.02371335903553752,115.0,win,0.00022999974701075565,0.0032699964030153067,51.47702407002188
2023-01-02 21:40:00,2023-01-02 21:55:00,sell,130.758,130.719,1.0,0.03900000000001569,0.026999999999986812,0.029826090946646237,15.0,win,0.0,0.0032699964030153067,51.47702407002188
2023-01-02 22:10:00,2023-01-02 22:30:00,sell,130.712,130.715,1.0,-0.0030000000000143245,0.023999999999972488,-0.0022951221005067055,20.0,loss,2.9999919006330486e-05,0.0032699964030153067,51.47702407002188
2023-01-02 22:35:00,2023-01-02 22:40:00,sell,130.716,130.718,1.0,-0.001999999999981128,0.02199999999999136,-0.0015300345787670427,5.0,loss,4.999986499236096e-05,0.0032699964030153067,51.47702407002188
2023-01-02 22:50:00,2023-01-02 23:40:00,buy,130.72,130.62,1.0,-0.09999999999999432,-0.07800000000000296,-0.07649938800489162,50.0,loss,0.0010499971650032888,0.0032699964030153067,51.47702407002188
2023-01-02 23:50:00,2023-01-03 00:15:00,buy,130.623,130.715,1.0,0.09200000000001296,0.014000000000010004,0.07043170038968097,25.0,win,0.00012999964900924226,0.0032699964030153067,51.47702407002188
2023-01-03 00:20:00,2023-01-03 01:00:00,buy,130.705,130.687,1.0,-0.018000000000000682,-0.003999999999990678,-0.013771470104434169,40.0,loss,0.0003099991630108455,0.0032699964030153067,51.47702407002188
2023-01-03 01:15:00,2023-01-03 01:25:00,sell,131.097,130.97,1.0,0.12700000000000955,0.12300000000001887,0.09687483313882815,10.0,win,0.0,0.0032699964030153067,51.47702407002188
2023-01-03 01:30:00,2023-01-03 01:35:00,sell,130.937,130.98,1.0,-0.042999999999977945,0.08000000000004093,-0.032840220869561655,5.0,loss,0.000429994711061707,0.0032699964030153067,51.47702407002188
2023-01-03 01:45:00,2023-01-03 02:15:00,buy,130.801,130.838,1.0,0.03700000000000614,0.11700000000004707,0.02828724551036012,30.0,win,5.999926200311108e-05,0.0032699964030153067,51.47702407002188
2023-01-03 02:25:00,2023-01-03 04:00:00,buy,130.802,130.146,1.0,-0.6560000000000059,-0.5389999999999588,-0.5015213834650892,95.0,loss,0.0066199185750041465,0.0066199185750041465,51.47702407002188
2023-01-03 04:25:00,2023-01-03 04:30:00,buy,130.056,129.954,1.0,-0.10200000000000387,-0.6409999999999627,-0.0784277541981945,5.0,loss,0.0076399060291479845,0.0076399060291479845,51.47702407002188
2023-01-03 04:40:00,2023-01-03 08:55:00,buy,129.854,129.835,1.0,-0.019000000000005457,-0.6599999999999682,-0.014631817271709346,255.0,loss,0.007829903692179056,0.007829903692179056,51.47702407002188
2023-01-03 09:00:00,2023-01-03 09:35:00,buy,129.786,129.901,1.0,0.1150000000000091,-0.5449999999999591,0.08860739987364516,35.0,win,0.006679917837007258,0.007829903692179056,51.47702407002188
2023-01-03 09:40:00,2023-01-03 10:05:00,buy,129.966,130.414,1.0,0.4479999999999791,-0.09699999999997999,0.344705538371558,25.0,win,0.0021999729403262857,0.007829903692179056,51.47702407002188
2023-01-03 10:10:00,2023-01-03 10:15:00,sell,130.325,130.694,1.0,-0.3689999999999998,-0.46599999999997976,-0.2831383080759638,5.0,loss,0.005889927553890505,0.007829903692179056,51.47702407002188
2023-01-03 10:20:00,2023-01-03 10:40:00,buy,130.607,130.74,1.0,0.13300000000000978,-0.33299999999997,0.10183221419985894,20.0,win,0.004559943912691183,0.007829903692179056,51.47702407002188
2023-01-03 10:45:00,2023-01-03 11:00:00,buy,130.846,130.761,1.0,-0.08500000000000796,-0.41799999999997794,-0.06496186356480745,15.0,loss,0.005409933457811047,0.007829903692179056,51.47702407002188
2023-01-03 11:05:00,2023-01-03 11:10:00,buy,130.639,130.487,1.0,-0.15200000000001523,-0.5699999999999932,-0.11635116619081226,5.0,loss,0.006929914762041442,0.007829903692179056,51.47702407002188
2023-01-03 11:35:00,2023-01-03 11:55:00,sell,130.472,130.411,1.0,0.06100000000000705,-0.5089999999999861,0.04675332638421044,20.0,win,0.0063199222649522125,0.007829903692179056,51.47702407002188
2023-01-03 12:05:00,2023-01-03 13:20:00,buy,130.434,130.721,1.0,0.28700000000000614,-0.22199999999998,0.22003465354125928,75.0,win,0.003449957565515396,0.007829903692179056,51.47702407002188
2023-01-03 13:25:00,2023-01-03 13:40:00,buy,130.684,130.731,1.0,0.046999999999997044,-0.17499999999998295,0.03596461693856711,15.0,win,0.0029799633464394886,0.007829903692179056,51.47702407002188
2023-01-03 13:45:00,2023-01-03 14:20:00,buy,130.761,131.031,1.0,0.27000000000001023,0.09500000000002728,0.20648358455503574,35.0,win,0.0002799965560448345,0.007829903692179056,51.47702407002188
2023-01-03 14:30:00,2023-01-03 14:35:00,sell,130.953,130.886,1.0,0.06700000000000728,0.16200000000003456,0.05116339450032246,5.0,win,0.0,0.007829903692179056,51.47702407002188
2023-01-03 14:40:00,2023-01-03 16:55:00,buy,130.896,130.18,1.0,-0.7159999999999798,-0.5539999999999452,-0.5469991443588649,135.0,loss,0.0071598840098825315,0.007829903692179056,51.47702407002188
2023-01-03 17:20:00,2023-01-03 17:35:00,sell,130.599,130.857,1.0,-0.2580000000000098,-0.811999999999955,-0.19755128293479263,15.0,loss,0.009739842214557724,0.009739842214557724,51.47702407002188
2023-01-03 17:40:00,2023-01-03 19:15:00,buy,130.829,130.811,1.0,-0.018000000000000682,-0.8299999999999557,-0.013758417476248142,95.0,loss,0.009919839298605253,0.009919839298605253,51.47702407002188
2023-01-03 19:20:00,2023-01-03 19:50:00,buy,130.84,130.823,1.0,-0.016999999999995907,-0.8469999999999516,-0.012992968511155539,30.0,loss,0.010089836544648121,0.010089836544648121,51.47702407002188
2023-01-03 19:55:00,2023-01-03 21:00:00,buy,130.786,130.601,1.0,-0.18500000000000227,-1.0319999999999538,-0.1414524490388897,65.0,loss,0.011939806575128536,0.011939806575128536,51.47702407002188
2023-01-03 21:00:00,2023-01-03 22:55:00,buy,130.601,130.957,1.0,0.35599999999999454,-0.6759999999999593,0.27258596794817386,115.0,win,0.008379864246196592,0.011939806575128536,51.47702407002188
